식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D402-123460000-0001,햄버거_치킨,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2123,햄버거,212346,치킨,21234600,해당없음,0,해당없음,100ml,123,22.3,7.5,4.06,,13.92,2.37,3.6,12.0,0.56,62.0,110.0,265.0,14.0,5.0,116.0,0.059,0.064,0.869,0.41,0.0,14.32,1.63,,3,식품의약품안전처,366ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-125000000-0001,호떡,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2125,호떡,212500,해당없음,21250000,해당없음,0,해당없음,100ml,147,2.3,2.7,5.91,,20.14,4.76,0.9,5.0,0.28,30.0,46.0,2.0,0.0,0.0,0.0,0.075,0.026,0.375,0.04,0.01,0.0,0.86,,3,식품의약품안전처,104ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-143000000-0001,감자샐러드 샌드위치,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2143,감자샐러드 샌드위치,214300,해당없음,21430000,해당없음,0,해당없음,100ml,108,34.4,3.1,4.73,,13.39,2.27,1.3,12.0,0.38,37.0,105.0,217.0,20.0,10.0,125.0,0.049,0.098,0.373,1.87,0.08,24.2,1.2,,3,식품의약품안전처,380ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-144000000-0001,소고기 샌드위치,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2144,소고기 샌드위치,214400,해당없음,21440000,해당없음,0,해당없음,100ml,203,37.6,6.9,10.61,,19.7,2.93,1.2,21.0,0.73,71.0,117.0,328.0,23.0,20.0,36.0,0.046,0.094,0.746,3.37,0.07,29.83,4.33,,3,식품의약품안전처,250ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D406-323000000-0001,메기 매운탕,D,음식,4,외식(재료량 기반 산출함량),6,찌개 및 전골류,6323,메기 매운탕,632300,해당없음,63230000,해당없음,0,해당없음,100ml,59,62.1,4.0,1.46,,7.39,0.69,1.0,19.0,0.49,55.0,153.0,264.0,26.0,9.0,200.0,0.073,0.073,0.75,1.56,0.75,10.42,0.42,,3,식품의약품안전처,760ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-051450000-0001,회덮밥_참치,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1051,회덮밥,105145,참치,10514500,해당없음,0,해당없음,100ml,108,32.8,4.9,1.78,,17.65,1.45,1.0,17.0,0.55,62.0,144.0,84.0,27.0,0.0,325.0,0.045,0.046,0.315,2.26,0.75,1.05,0.54,,3,식품의약품안전처,572ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-052000000-0001,흑미밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1052,흑미밥,105200,해당없음,10520000,해당없음,0,해당없음,100ml,120,4.3,2.3,0.37,,25.73,0.17,0.7,3.0,0.09,38.0,33.0,1.0,0.0,0.0,1.0,0.042,0.01,0.38,0.0,0.0,0.0,0.1,,3,식품의약품안전처,300ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-054000000-0001,강낭콩밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1054,강낭콩밥,105400,해당없음,10540000,해당없음,0,해당없음,100ml,111,6.1,2.2,0.15,,24.21,0.01,0.8,4.0,0.5,36.0,78.0,2.0,0.0,0.0,3.0,0.084,0.011,0.42,0.08,0.0,0.0,0.05,,3,식품의약품안전처,300ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-055000000-0001,검정콩밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1055,검정콩밥,105500,해당없음,10550000,해당없음,0,해당없음,100ml,136,4.7,3.3,0.79,,27.6,0.35,1.2,7.0,0.3,50.0,81.0,1.0,0.0,0.0,3.0,0.036,0.029,0.396,0.13,0.0,0.0,0.17,,3,식품의약품안전처,250ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-057000000-0001,굴 국밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1057,굴 국밥,105700,해당없음,10570000,해당없음,0,해당없음,100ml,63,12.0,1.6,0.32,,12.79,0.46,0.5,23.0,0.49,26.0,46.0,144.0,1.0,0.0,9.0,0.036,0.014,0.168,0.36,0.0,0.58,0.07,,3,식품의약품안전처,809ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-058000000-0001,굴밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1058,굴밥,105800,해당없음,10580000,해당없음,0,해당없음,100ml,122,44.5,4.3,1.95,,21.44,0.66,1.0,83.0,1.79,67.0,126.0,126.0,13.0,2.0,135.0,0.078,0.053,0.346,1.18,0.15,10.38,0.36,,3,식품의약품안전처,500ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
